Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 05-May-2025 at 14:08:55.
Created 05-May-2025 14:08:55.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.73104E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000026
 0.0500	 0.000051	 0.002068	 0.000009	 0.000344	-0.000052
 0.0750	 	 	 	 	-0.000087
 0.1000	 0.000222	 0.004839	 0.000038	 0.000847	-0.000122
 0.1250	 	 	 	 	-0.000198
 0.1500	 0.000584	 0.009884	 0.000103	 0.001780	-0.000275
 0.1750	 	 	 	 	-0.000389
 0.2000	 0.001214	 0.015736	 0.000216	 0.002845	-0.000503
 0.2250	 	 	 	 	-0.000641
 0.2500	 0.002135	 0.021782	 0.000384	 0.003994	-0.000777
 0.2750	 	 	 	 	-0.001169
 0.3000	 0.003392	 0.029416	 0.000617	 0.005442	-0.001553
 0.3250	 	 	 	 	-0.002632
 0.3500	 0.005042	 0.037754	 0.000920	 0.006919	-0.003681
 0.3750	 	 	 	 	-0.004840
 0.4000	 0.007110	 0.046530	 0.001296	 0.008380	-0.005954
 0.4250	 	 	 	 	-0.007205
 0.4500	 0.009648	 0.056831	 0.001747	 0.009948	-0.008391
 0.4750	 	 	 	 	-0.009692
 0.5000	 0.012790	 0.071025	 0.002283	 0.011837	-0.010910
 0.5250	 	 	 	 	-0.012384
 0.5500	 0.016787	 0.091502	 0.002921	 0.014103	-0.013745
 0.5750	 	 	 	 	-0.015715
 0.6000	 0.022036	 0.121558	 0.003682	 0.016774	-0.017520
 0.6250	 	 	 	 	-0.020033
 0.6500	 0.029142	 0.166460	 0.004584	 0.019765	-0.022321
 0.6750	 	 	 	 	-0.025626
 0.7000	 0.038528	 0.214214	 0.005619	 0.022272	-0.028597
 0.7250	 	 	 	 	-0.033027
 0.7500	 0.050419	 0.267906	 0.006767	 0.024359	-0.036985
 0.7750	 	 	 	 	-0.041805
 0.8000	 0.064872	 0.318372	 0.007997	 0.025754	-0.046008
 0.8250	 	 	 	 	-0.050624
 0.8500	 0.081497	 0.356686	 0.009280	 0.026555	-0.054431
 0.8750	 	 	 	 	-0.060153
 0.9000	 0.099733	 0.384066	 0.010598	 0.027184	-0.064449
 0.9250	 	 	 	 	-0.068715
 0.9500	 0.118972	 0.398300	 0.011937	 0.027435	-0.071073
 0.9750	 	 	 	 	-0.076983
 1.0000	 0.139025	 0.413434	 0.013286	 0.027605	-0.079039


 -------- Mode No.   2  (freq = 0.10766E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000013
 0.0500	-0.000017	-0.000668	 0.000225	 0.009055	-0.000026
